,Embedded Dimension,IsoMap,MDS,UMAP,PCA,t-SNE
107,1205,0.657923637027317,0.564654925571873,0.968254198906095,0.218443140104019,0.211241318958832
108,1305,0.647427128311541,0.551525827707472,0.968123428803847,0.157570697508097,0.160671777970159
109,1405,0.627981350921283,0.547438580081342,0.968741822900146,0.117538617949436,0.12405382556994
,1410,0.625474815136805,0.547015956350816,0.9684658878173,0.113997078710729,0.119719634142288
,1420,0.621327431769388,0.548686613689243,0.968633969320029,0.122334672875094,0.117859794629003
,1430,0.606538837096864,0.546097062104809,0.967984662991053,0.117344874521967,0.114569459167689
,1440,0.554219644156095,0.54456397908337,0.968335068161986,0.115626039404589,0.114850028274981
,1450,0.55253960049312,0.543268214701046,0.967976856330208,0.112830849559954,0.114835504398766
,1460,0.55186300087313,0.544957563181088,0.968717955289293,0.114742454200565,0.109369149296767
,1470,0.552213050629871,0.542537247439109,0.967867248416932,0.115198940053442,0.11316453879177
,1480,0.552032590128825,0.54075675646274,0.968544142420241,0.111859210709898,0.121143291588834
,1490,0.55215486982618,0.543261683402013,0.967965107552148,0.112782853018584,0.116060268777049
,1500,0.55216237097928,0.54397195093751,0.968900947124644,0.112876855949189,0.123221911034304
,1510,,0.541659347569259,0.968561892520701,0.114146631640641,0.118228819647121
,1520,,0.54614947441102,0.967959628119755,0.114380241626292,0.118659720156272
,1530,,0.540032593467294,0.968827880872931,0.116842499539228,0.120125942755179
,1540,,0.541423912611826,0.968723674588615,0.120313557751813,0.119962952226854
,1550,,0.540886782366928,0.967915845839,0.125259330096226,0.128452825601552
,1560,,0.54201325482665,0.968578203315115,0.128409962053039,0.138728679742031
,1570,,0.539295401740006,0.968251368332163,0.131887414158652,0.132092287093021
,1580,,0.537887204412195,0.968262493784265,0.13840423337171,0.13749354080454
,1590,,0.537629806158628,0.968191041366105,0.141007897945346,0.147916416302977
,1600,,0.540661321044623,0.96797385109295,0.146263661728033,0.14620782219941
,1610,,0.537454838632252,0.968087944462415,0.147505490602277,0.15660985719674
,1620,,0.535917059727975,0.967952066225773,0.15406158718136,0.152876414489365
,1630,,0.538912071172434,0.967976124495259,0.158382420812117,0.167828416075103
,1640,,0.538144407098234,0.968154031640678,0.168109856484679,0.177402208311388
,1650,,0.535346414568512,0.968316992482316,0.175919491589272,0.183039052389079
,1660,,0.535343396224945,0.96875017340145,0.183357563046515,0.188069365846057
,1670,,0.535059326610853,0.967800928308961,0.193850779873179,0.191626302253778
,1680,,0.532560387646574,0.968362970633585,0.202166314979931,0.198239140245303
,1690,,0.533444524125007,0.967722895352298,0.215744075439874,0.203421393258533
,1700,,0.534424469855455,0.968233504457111,0.225541376707807,0.204065435659313
,1710,,0.534217012560954,0.968400700586654,0.238805775970152,0.221520280291738
,1720,,0.535165407733848,0.968349814728151,0.24655929703614,0.217544371620764
,1730,,0.530363870162849,0.96814155527985,0.250703702945748,0.219161958879277
,1740,,0.532012816754076,0.968279099128455,0.249529131257334,0.225225950804275
,1750,,0.533837242421988,0.968494296277627,0.256720069064178,0.224201938815329
,1760,,0.531481053972439,0.968042054844285,0.22844701275767,0.206802574514219
,1770,,0.5326769521937,0.967966555498377,0.145773922528459,0.145773922528459
